ID,Standard name,alias,alias PMID,PMID used,Description
CGB_E4040W,PPG1,,,16194228,type 2a-like serine/threonine-protein phosphatase
CGB_A4040C,PPH3,,,16194228,serine/threonine-protein phosphatase catalytic subunit
CGB_F5250W,PRM1,,,20485569,putative plasma membrane fusion protein
CGB_D0510C,PRO2,,,19151325,gamma-glutamyl phosphate reductase
CGB_M0530C,PTP1,,,24728196,protein tyrosine phosphatase
CGB_D2380C,PTP2,,,24728196,protein tyrosine phosphatase
CGB_I1590W,PUB1,,,19542307,putative polyadenylated mRNA-binding protein
CGB_C6390C,PUF4,,,16194228,pumilio-family mRNA binding protein
CGB_E6420C,PUT1,,,23564202,proline oxidase
CGB_D1450W,PUt2,,,23564202,delta-pyrroline-5-carboxylate
CGB_E6430C,PUT5,,,23564202,proline oxidase
CGB_C5730C,PXA2,,,20696827,peroxisomal ATP-binding cassette transporter
CGB_C4530W,PYK1,,,21652778,pyruvate kinase
CGB_E6410W,QDR1,,,19542307,MFS multidrug transporter
CGB_C7290W,RAC1,,,22466042,ras-like gtp-binding protein
CGB_M0040W,RAC2,,,23748012,rho-GTPase
CGB_A1780W,RAD17,,,19151325,cell cycle checkpoint protein
CGB_A8600W,RAD23,,,18854164,putative UV excision repair protein
CGB_D5430C,RAD54,,,18854164,DNA repair and recombination protein
CGB_F3420C,RAM1,,,15184578,protein farnesyltransferase subunit beta
CGB_B3270C,RAS1,,,10792722,G-protein signaling GTPase
CGB_I2550C,RAS2,,,11782511,G-protein signaling GTPase
CGB_B1400W,RCK2,,,18854164,predicted protein kinase
CGB_G3190W,RDI1,,,18779335,rho gdp-dissociation inhibitor
CGB_G5150C,RDP1,,,21067947,putative mRNA-dependent RNA polymerase
CGB_F4690W,RGD1,,,18854164,rho GTPase activating protein (GAP) homolog
CGB_G3180C,RHO1,,,10455236,GTP-binding protein
CGB_G0400W,RHO10,,,23159519,rho-type GTPase
CGB_F1100W,RHO104,,,18854164,rho family GTPase
CGB_F3160C,RIB4,,,19542307,"6,7-dimethyl-8-ribityllumazine synthase"
CGB_L0670C,RIM101,,,20174553,C2H2 zinc finger transcription factor
CGB_G6440W,RIM20,,,20174553,escrt-III-associated proteolytic activator of rim101
CGB_B4580C,RINT1,,,18854164,Rad50-interacting protein 1 homolog
CGB_A1150W,RLM1,,,19542307,mads-box transcription factor
CGB_D7670W,RMD5,,,18854164,putative ubiquitin ligase
CGB_H5630C,ROM2,,,16194228,rho guanyl-nucleotide exchange factor
CGB_M1370C,ROM20,,,16194228,rho guanine nucleotide exchange factor
CGB_B5720C,ROM21,,,16194228,rho guanine nucleotide exchange factor
CGB_D7370C,RPA32,,,22916030,replication protein
CGB_D5240W,RPA70,,,22916030,replication protein
CGB_I1280W,RPB4,,,23659661,mRNA polymerase II subunit
CGB_F2490W,RPD304,,,18854164,histone deacetylase
CGB_L3310C,RPH1,,,18854164,histone demethylase
CGB_J1250C,RPL2,,,23659661,large subunit ribosomal protein
CGB_I0570W,RPL22alpha,,,12455690,large subunit ribosomal protein L22e
CGB_A8680W,RPL27,,,23659661,large subunit ribosomal protein L27e
CGB_B2560C,RPL30,,,17114598,large subunit ribosomal protein L30e
CGB_I1190C,RPL39alpha,,,12455690,large subunit ribosomal protein L39
CGB_B0250W,RPL9B,,,17114598,large subunit ribosomal protein L9
CGB_B2480C,RPN11,,,22719877,26s proteasome lid component
CGB_B9060W,RPN14,,,21602483,19s proteasome regulatory particle base assembly chaperone
CGB_D4530C,RPN5,,,21602483,26s proteasome regulatory subunit
CGB_I1030W,RPO41alpha,,,12455690,"DNA-directed mRNA polymerase, mitochondrial"
CGB_J1480W,RRP44,,,23966870,exosome complex exonuclease
CGB_C6050C,RRP6,,,23966870,exosome complex exonuclease
CGB_E5300C,RSC8,,,19542307,rsc chromatin remodeling complex subunit
CGB_H0270C,RSP5,,,19749173,e3 ubiquitin-protein ligase
CGB_F1540W,RTF1,,,18854164,mRNA polymerase-associated protein
CGB_C6550C,RUB1,,,18854164,ubiquitin-like protein
CGB_I0590W,RUM1alpha,,,12455690,phd transcription factor
CGB_I2330C,SAC6,,,22562467,fimbrin
CGB_J2320C,SAH1,,,19542307,adenosylhomocysteinase
CGB_A2710W,SAR1,,,19749173,small copII coat GTPase
CGB_N0420W,SAS3,,,18854164,histone acetyltransferase
CGB_C6450W,SAV1,,,17021252,rab family GTPase
CGB_N1200W,SBH1,,,22412978,ER-protein sec61-beta ortholog
CGB_N0290C,SCH9,,,19542307,agc family protein kinase
CGB_C1470W,SCP1,,,17319742,sterol regulatory element-binding protein cleavage-activating protein
CGB_G0610W,SEC14-1,,,21453402,phosphatidylinositol/phosphatidylcholine transfer protein
CGB_B0281C,SEC14-2,,,21453402,phosphatidylinositol/phosphatidylcholine transfer protein
CGB_D8400W,SEC23,,,19749173,putative GTPase-activating protein
CGB_B9450W,SEC24,,,19749173,copii vesicle coat protein
CGB_K1300C,SEC6,,,19210702,exocyst complex component
CGB_D6310C,SET101,,,18854164,histone-lysine N-methyltransferase
CGB_G1260C,SET202,,,18854164,histone-lysine N-methyltransferase
CGB_F0540W,SET302,,,18854164,histone deacetylase complex protein
CGB_D2110W,SEY1,,,22412978,dynamin-like GTPase
CGB_M1210C,SFB2,,,19749173,copII vesicle coat protein
CGB_E5610C,SFH5,,,21453402,phosphatidylinositol transfer protein
CGB_N1590C,SGF29,,,20581290,putative saga histone acetyltransferase complex component
CGB_D8310W,SIN1,,,22339665,target of rapamycin complex 2 subunit
CGB_A9440C,SIP401,,,18854164,Zn2-Cys6 zinc-finger transcription factor
CGB_L0030C,SIP402,,,18854164,Zn2-Cys6 zinc-finger transcription factor
CGB_A9320W,SIT1,,,15720553,siderophore iron transporter
CGB_E6100C,SIT2,,,19820119,siderochrome-iron transporter
CGB_J2210C,SKN1,,,20384682,putative glucosidase
CGB_G4330C,SKN7,,,16041017,response regulator and transcription factor
CGB_E4030C,SLA2,,,22562467,actin cortical patch component
CGB_J1100C,SLC1,,,22412978,1-acyl-sn-glycerol-3-phosphate acyltransferase
CGB_K1770C,SNF2,,,19542307,chromatin remodeling complex ATPase
CGB_A8280C,SNF5,,,16102007,swi/snf chromatin-remodeling complex subunit
CGB_B0430C,SNT1,,,18854164,putative set3c deacetylase complex subunit
CGB_D3700C,SOD1,,,12622821,copper/zinc superoxide dismutase
CGB_H2330C,SOD2,,,19542307,putative mitochondrial manganese superoxide dismutase
CGB_A2060W,SOG2,,,16775005,ram signaling network protein
CGB_E5310W,SOL3,,,19542307,6-phosphogluconolactonase
CGB_B1670C,SP1,CRZ1,23251520,21487010,zinc finger transcription factor
CGB_I0620C,SPO14alpha,,,12455690,phospholipase D1
CGB_G4310W,SPP101,,,18854164,putative compass/set1c complex subunit
CGB_F3670W,SPR1,,,18854164,glycosyl hydrolase
CGB_I4300C,SPT3,,,20581290,predicted saga histone acetyltransferase complex component
CGB_A2740W,SPT7,,,20581290,predicted saga histone acetyltransferase complex component
CGB_F1010W,SPT8,,,20581290,predicted saga histone acetyltransferase complex component
CGB_I3220C,SRE1,,,17462012,sterol regulatory element-binding protein
CGB_A7130W,SRX1,,,19542307,sulfiredoxin
CGB_N2420C,SSA1,,,17040492,putative ATPase and ER protein chaperone similar to Kar2
CGB_G3450C,SSD1,,,16194228,putative translational repressor
CGB_A3270W,SSK1,,,16672377,two-component system response regulator
CGB_D1460C,SSK2,,,17951522,ste/ste11/ssk protein kinase
CGB_A4340W,SSN801,,,21559476,cyclin subunit of mediator subcomplex
CGB_B0610W,SSS1,,,21602483,sec61 translocation complex protein
CGB_F4130C,STB4,,,18854164,putative transcription factor
CGB_I1040C,STE11alpha,,,12455690,"mapkk kinase, ste/ste11 protein kinase"
CGB_I1200C,STE12alpha,,,12455690,ste-like transcription factor
CGB_I1060C,STE20alpha,,,12455960,ste/ste20/paka protein kinase
CGB_I1090W,STE3alpha,,,12455960,a-factor pheromone receptor
CGB_C8370W,STE50,,,20971202,mapk signaling pathway adaptor protein
CGB_B6670C,STE6,,,22466042,putative pheromone transporter
CGB_C3420C,STE7,,,12828643,map kinase kinase
CGB_C2780W,STL1,,,19542307,putative monosaccharide transporter
CGB_F3440C,STP1,,,17319742,putative site-2 protease
CGB_G1100C,SWE1,,,20696827,serine/threonine-protein kinase
CGB_I0510W,SXI1alpha,,,12464634,alpha cell-type homeodomain transcription factor
CGB_K0550W,TAF10,,,20581290,C2H2 zinc finger protein
CGB_I0090C,TAF12,,,20581290,putative TFIID and saga complex component
CGB_L0640W,TAF5,,,20581290,putative TFIID and saga complex component
CGB_E0240C,TAF6,,,20581290,putative TFIID and saga complex component
CGB_K3240W,TAF9,,,20581290,putative TFIID and saga complex component
CGB_K0400W,TAL1,,,16524907,transaldolase
CGB_B6460C,TAO3,,,16775005,ram signaling network cell polarity protein
CGB_C5190C,TCO1,,,16672377,two-component-like sensor kinase
CGB_L2780C,TCO2,,,16672377,two-component-like sensor kinase
CGB_G3520W,TCO4,,,16672377,two-component-like sensor kinase
CGB_B1200C,TCO5,,,16672377,two-component-like sensor kinase
CGB_B3870C,TCO6,,,16672377,two-component-like sensor kinase
CGB_N0120W,TCO7,,,16672377,two-component-like sensor kinase
CGB_M1520C,TEF1,,,9367655,elongation factor 1-alpha
CGB_G3040C,TIM13,,,20581290,mitochondrial import inner membrane translocase subunit
CGB_J1370C,TLK1,,,22412978,Tor-like phosphatidylinositol 3 kinase
CGB_H1790W,TOM1,,,19542307,e3 ubiquitin-protein ligase
CGB_H4710W,TOP1,,,19542307,DNA topoisomerase 1
CGB_F1480W,TOR1,,,10330150,Tor protein kinase
CGB_F3060W,TPM1,,,22562467,tropomyosin
CGB_I4320W,TPS1,,,16988267,alpha-alpha trehalose-phosphate synthase
CGB_B4530C,TPS2,,,16988267,trehalose-6-phophate phosphatase
CGB_A6580W,TRA1,,,20581290,putative saga and nua4 histone acetyltransferase complex subunit
CGB_H1160W,TRP1,,,1452032,phosphoribosylanthranilate isomerase
CGB_F5080W,TRR1,,,19542307,thioredoxin reductase
CGB_C6300W,TRX1,,,16045626,thioredoxin
CGB_C1690C,TRX2,,,16045626,thioredoxin
CGB_G5260W,TSA1,,,16524907,thiol peroxidase
CGB_G2580W,TSR2,,,19542307,pre-rRNA-processing protein
CGB_C5100W,TUB1,,,9202476,tubulin beta chain
CGB_D0140W,TUB2,,,9202476,tubulin beta chain
CGB_K4330C,TUB4,,,19542307,gamma-tubulin
CGB_E5120W,TUP1,,,19820119,general transcriptional repressor
CGB_I0480C,UAP1,,,12455690,uric acid xanthine permease
CGB_F5510C,UBA2,,,21602483,ubiquitin-activating enzyme e1-like
CGB_C3070C,UBA3,,,22719877,rub1/nedd8 activating enzyme
CGB_D3370C,UBA4,,,18854164,urm1 activating enzyme
CGB_D8540C,UBC12,,,22719877,ubiquitin-conjugating enzyme
CGB_D4540C,UBC4,,,19542307,ubiquitin conjugating enzyme
CGB_F3660C,UBC6,,,19542307,ubiquitin-conjugating enzyme
CGB_E4270W,UBC6-2,,,19542307,ubiquitin conjugating enzyme
CGB_F0550W,UBC7,,,19542307,ubiquitin-conjugating enzyme
CGB_D9290W,UBC8,,,19542307,ubiquitin conjugating enzyme
CGB_B3800W,UBI1,,,7642124,predicted ubiquitin-ribosomal 60s subunit protein L40a fusion protein
CGB_K1210C,UBI4,,,7642124,ubiquitin precursor
CGB_C2070W,UBP10,,,22719877,putative ubiquitin carboxyl-terminal hydrolase
CGB_I2170W,UBP13,,,22719877,pab-dependent poly(A)-specific ribonuclease subunit
CGB_F3130C,UBP14,,,18854164,ubiquitin carboxyl-terminal hydrolase;
CGB_B2160W,UBP16,,,18854164,ubiquitin carboxyl-terminal hydrolase
CGB_L3600C,UBP5,,,22719877,ubiquitin carboxyl-terminal hydrolase
CGB_A2500W,UBP7,,,22719877,ubiquitin carboxyl-terminal hydrolase
CGB_D3400W,UCH2,,,22719877,ubiquitin carboxyl-terminal hydrolase
CGB_D6390W,UFD4,,,18854164,e3 ubiquitin-protein ligase
CGB_D0330C,UGD1,,,15590833,UDP-glucose 6-dehydrogenase
CGB_A7560C,UGE1,,,17462022,UDP-glucose epimerase
CGB_D2250C,UGT1,,,17462022,putative UDP-galactose transporter
CGB_D0260W,URA3,,,1573522,orotidine-5'-phosphate decarboxylase
CGB_G1340W,URA5,,,2201894,orotidine monophosphate pyrophosphorylase
CGB_L2280C,URE1,,,10639402,urease
CGB_D5470C,URE2,,,23653445,"protein of unknown function, smc3 ortholog"
CGB_D5460W,URE4,,,23653445,urease accessory protein
CGB_E6350C,URE6,,,23653445,urease accessory protein
CGB_A7360W,URE7,,,23653445,urease accessory protein
CGB_G3620C,URK1,,,20485569,uridine kinase
CGB_D1690W,URM1,,,22719877,ubiquitin-related modifier
CGB_G1480C,UVE1,,,24039606,UV DNA damage endonuclease
CGB_G3260C,UXS1,,,11593010,UDP-glucuronic acid decarboxylase
CGB_C1050W,VAD1,,,15765146,virulence associated ATP-dependent mRNA helicase
CGB_L0360C,VAM6,,,18854164,rab guanyl-nucleotide exchange factor
CGB_B0180C,VCX1,,,20889719,vacuolar calcium exchanger
CGB_D4750C,VPH1,,,11737651,vacuolar-ATPase subunit
CGB_A6130W,VPS1,,,19542307,dynamin GTPase
CGB_A5170C,VPS17,,,19542307,membrane-associated retromer complex subunit
CGB_C3340C,VPS23,,,23132495,predicted escrt-I complex protein
CGB_I4070C,VPS25,,,18854164,escrt-II complex subunit
CGB_H1070W,VPS4,,,19542307,AAA-ATPase
CGB_H3560C,VPS41,,,16879414,vacuolar protein sorting-associated protein
CGB_E6640W,WSP1,,,21357479,Wiskott-Aldrich syndrome protein (wasp) homolog
CGB_K4420W,XFP2,,,24659577,xylulose 5-phosphate/fructose 6-phosphate phosphoketolase
CGB_F4240C,XRN2,,,25267175,5'-3' exoribonuclease
CGB_C2100C,YAP4,,,16045626,bZip transcription factor
CGB_B6310W,YKU80,,,18854164,ATP-dependent DNA helicase
CGB_F1520C,YOP1,,,22731401,membrane trafficking and ER morphology protein
CGB_G5450C,YOR1,,,19542307,ATP-binding cassette transporter
CGB_G1630C,YOX101,,,18854164,homeobox transcriptional repressor
CGB_M2120W,YPD1,,,16672377,"histidine kinase two-component system, phosphorelay intermediate protein"
CGB_D8460W,YPK1,,,22339665,protein kinase
CGB_E1090W,YRM101,,,18854164,putative transcription factor
CGB_A0060W,YRM103,,,18854164,putative transcription factor
CGB_C8520W,YSA1,,,25361768,ADP-ribose pyrophosphatase
CGB_H2720W,ZAP103,,,18854164,putative zinc finger transcription factor
CGB_L0330C,ZAP104,ZAP1,22916306,18854164,putative zinc finger transcription factor
CGB_F4180W,ZDS3,,,21726407,zds-like protein
CGB_J2230W,ZIP1,,,22916306,zinc ion transporter
CGB_G4230W,ZIP2,,,22916306,zinc ion transporter
CGB_E4200W,ZIP3,,,22916306,zinc ion transporter
CGB_G3610W,ZNF2,,,20485569,C2-H2 zinc-finger transcription factor
CGB_G2110C,ZWF1,,,20400467,glucose-6-phosphate dehydrogenase
CGB_A1430W,,,,22562467,f-actin-capping protein subunit alpha
CGB_A2240W,,,,22562467,f-actin-capping protein subunit beta
CGB_C5530W,,,,21067947,dicer
CGB_C5540W,,,,21067947,dicer
