H99 ID,H99 Standard Name,H99 alias,H99 alias PMID,PMID used H99,Description H99,JEC21 ID,JEC21 Standard name,JEC21 alias,JEC21 alias PMID,PMID used JEC21,Description JEC21,B3501A ID,B3501A Standard name,B3501A alias,B3501A alias PMID,PMID used B3501A,Description B3501A,WM276_ID,WM276 Standard name,WM276 alias,WM276 alias PMID,PMID used WM276,Description WM276,R265_ID,R265 Standard name,R265 alias,R265 alias PMID,R265 PMID,Description R265,Description H99,Description non-H99,Synteny checked?,Update from Supplement,Curator Comment for FungiDB,H99 Genbank description,AHRD description,Top Sc hit,Sc Name,Sc eval,Sc hit % ID,H99 query length
CNAG_05148,CXT1,CAP3,14504286,17430900,"beta-1,2-xylosyltransferase",CNL04750,CXT1,,,17430900,"beta-1,2-xylosyltransferase",CNBI2100,CXT1,,,17430900,"beta-1,2-xylosyltransferase",CGB_D2310W,CXT1,,,17430900,"beta-1,2-xylosyltransferase",CNBG_4546,CXT1,,,14504286|17430900,"beta-1,2-xylosyltransferase","beta-1,2-xylosyltransferase","beta-1,2-xylosyltransferase",yes,,,"beta-1,2-xylosyltransferase 1","Beta-1,2-xylosyltransferase 1",,,,,
CNAG_05689,DAM1,BCA2,22339665,19749173,pre-mRNA-splicing factor,CNF02850,DAM1,,,19749173,pre-mRNA-splicing factor,CNBF1860,DAM1,,,19749173,pre-mRNA-splicing factor,CGB_F2480C,DAM1,,,19749173,pre-mRNA-splicing factor,CNBG_1848,DAM1,,,19749173 (22339665),pre-mRNA-splicing factor,pre-mRNA-splicing factor,pre-mRNA-splicing factor,yes,,,pre-mRNA-splicing factor SPF27,Pre-mRNA-splicing factor SPF27 homolog,,,,,
CNAG_06416,DAP2,,,21602483,putative dipeptidyl aminopeptidase,CNN01410,DAP2,,,21602483,putative dipeptidyl aminopeptidase,CNBN1370,DAP2,,,21602483,putative dipeptidyl aminopeptidase,CGB_N2190C,DAP2,,,21602483,putative dipeptidyl aminopeptidase,CNBG_5044,DAP2,,,21602483,putative dipeptidyl aminopeptidase,putative dipeptidyl aminopeptidase,putative dipeptidyl aminopeptidase,yes,,,dipeptidyl aminopeptidase,Probable dipeptidyl-aminopeptidase B,YHR028C,DAP2,3.200000000000000064e-98,33.91,808
CNAG_07418,DCN1,,,22719877,scaffold-type e3 ligase,CND05210,DCN1,,,22719877,scaffold-type e3 ligase,CNBD1130,DCN1,,,22719877,scaffold-type e3 ligase,CGB_I1610C,DCN1,,,22719877,scaffold-type e3 ligase,CNBG_5959,DCN1,,,22719877,scaffold-type e3 ligase,scaffold-type e3 ligase,scaffold-type e3 ligase,yes,,,defective in Cullin neddylation protein 1,Defective in cullin neddylation protein 1 Defective in cullin neddylation protein 1,YLR128W,DCN1,1.5999999999999999981e-13,26.64,259
CNAG_02742,DCR1,,,21067947,dicer,CNC03670,DCR1,,,21067947,dicer,,,,,21067947,dicer,CGB_C5530W,,,,21067947,,,,,,21067947,dicer,dicer,dicer,ambiguous,,,hypothetical protein,Dicer-like protein 1,,,,,
CNAG_02745,DCR2,,,21067947,dicer,CNC03680,DCR2,,,21067947,dicer,,,,,21067947,dicer,CGB_C5540W,,,,21067947,,,,,,21067947,dicer,dicer,dicer,ambiguous,,,hypothetical protein,Dicer-like protein 1,,,,,
CNAG_07422,DHA1,,,11035725,delayed-type hypersensitivity antigen,CND04870,DHA1,,,11035725,delayed-type hypersensitivity antigen,CNBD1480,DHA1,,,11035725,delayed-type hypersensitivity antigen,CGB_D7870C,DHA1,,,11035725,delayed-type hypersensitivity antigen,CNBG_0934,DHA1,,,11035725,delayed-type hypersensitivity antigen,delayed-type hypersensitivity antigen,delayed-type hypersensitivity antigen,yes,,,delayed-type hypersensitivity antigen,Protein priA,,,,,
CNAG_00597,DIP5,,,20485569,amino acid transporter,CNA05800,DIP5,,,20485569,amino acid transporter,CNBA5610,DIP5,,,20485569,amino acid transporter,CGB_A5600C,DIP5,,,20485569,amino acid transporter,CNBG_1371,DIP5,,,20485569,amino acid transporter,amino acid transporter,amino acid transporter,yes,,,amino acid transporter,Amino-acid permease 1,YPL265W,DIP5,2.1000000000000000126e-80,45.06,557
CNAG_00757,DOA4,,,18854164,ubiquitin carboxyl-terminal hydrolase,CNA07360,DOA4,,,18854164,ubiquitin carboxyl-terminal hydrolase,CNBA7180,DOA4,,,18854164,ubiquitin carboxyl-terminal hydrolase,CGB_A8460W,DOA4,,,18854164,ubiquitin carboxyl-terminal hydrolase,CNBG_1173,DOA4,,,18854164,ubiquitin carboxyl-terminal hydrolase,ubiquitin carboxyl-terminal hydrolase,ubiquitin carboxyl-terminal hydrolase,yes,,,ubiquitin carboxyl-terminal hydrolase 8,Ubiquitin carboxyl-terminal hydrolase 17,YDR069C,DOA4,1.2000000000000000308e-57,29.78,779
CNAG_00762,DPH1,,,19151325,diphthamide biosynthesis protein,CNA07400,DPH1,,,19151325,diphthamide biosynthesis protein,CNBA7230,DPH1,,,19151325,diphthamide biosynthesis protein,CGB_A8510W,DPH1,,,19151325,diphthamide biosynthesis protein,CNBG_1168,DPH1,,,19151325,diphthamide biosynthesis protein,diphthamide biosynthesis protein,diphthamide biosynthesis protein,yes,,,diphthamide biosynthesis protein 1,Diphthamide biosynthesis protein 1,YIL103W,DPH1,3.8999999999999998267e-67,40.25,472
CNAG_07448,DUR3,,,19542307,putative urea transporter,CND00530,DUR3,,,19542307,putative urea transporter,CNBD5720,DUR3,,,19542307,putative urea transporter,CGB_J2070C,DUR3,,,19542307,putative urea transporter,CNBG_6050,DUR3,,,19542307,putative urea transporter,putative urea transporter,putative urea transporter,yes,,,urea transporter,Urea active transporter,YHL016C,DUR3,2.4000000000000001078e-92,41.26,698
CNAG_02860,EBG1,,,20485569,"endo-1,3(4)-beta-glucanase",CNC04770,EBG1,,,20485569,"endo-1,3(4)-beta-glucanase",CNBC2400,EBG1,,,20485569,"endo-1,3(4)-beta-glucanase",CGB_C7080W,EBG1,,,20485569,"endo-1,3(4)-beta-glucanase",CNBG_3511,EBG1,,,20485569,"endo-1,3(4)-beta-glucanase","endo-1,3(4)-beta-glucanase","endo-1,3(4)-beta-glucanase",yes,,,"endo-1,3(4)-beta-glucanase","Probable endo-1,3(4)-beta-glucanase",,,,,
CNAG_05592,ECA1,,,17502401,sarcoplasmic/endoplasmic reticulum Ca2+-ATPase,CNH02370,ECA1,,,17502401,sarcoplasmic/endoplasmic reticulum Ca2+-ATPase,CNBL2380,ECA1,,,17502401,sarcoplasmic/endoplasmic reticulum Ca2+-ATPase,CGB_L3020C,ECA1,,,17502401,sarcoplasmic/endoplasmic reticulum Ca2+-ATPase,CNBG_4280,ECA1,,,17502401,sarcoplasmic/endoplasmic reticulum Ca2+-ATPase,sarcoplasmic/endoplasmic reticulum Ca2+-ATPase,sarcoplasmic/endoplasmic reticulum Ca2+-ATPase,yes,,,"potassium/sodium efflux P-type ATPase, fungal-type",Calcium-transporting ATPase 2,YGL167C,PMR1,5.1999999999999996979e-100,33.63,1005
CNAG_00883,ECM2201,,,18854164,Zn2-Cys6 zinc-finger transcription factor,CND00200,ECM2201,,,18854164,Zn2-Cys6 zinc-finger transcription factor,CNBD6000,ECM2201,,,18854164,Zn2-Cys6 zinc-finger transcription factor,CGB_J2360W,ECM2201,,,18854164,Zn2-Cys6 zinc-finger transcription factor,CNBG_6078,ECM2201,,,18854164,Zn2-Cys6 zinc-finger transcription factor,Zn2-Cys6 zinc-finger transcription factor,Zn2-Cys6 zinc-finger transcription factor,yes,,,transcription factor,"Sterol regulatory element binding protein, regulates transcription of sterol biosynthetic genes",,,,,
CNAG_01117,EF3,,,11244063,elongation factor 3,CND02420,EF3,,,11244063,elongation factor 3,CNBD3940,EF3,,,11244063,elongation factor 3,CGB_D4850W,EF3,,,11244063,elongation factor 3,CNBG_0686,EF3,,,11244063,elongation factor 3,elongation factor 3,elongation factor 3,yes,,,elongation factor 3,"Gamma subunit of translational elongation factor eEF1B, stimulates the binding of aminoacyl-tRNA (AA-tRNA) to ribosomes by releasing eEF1A (Tef1p/Tef2p) from the ribosomal complex",YNL014W,HEF3,7.6000000000000000953e-163,47.32,1025
CNAG_00623,EGCrP1,,,22072709,fungus-specific glucosylceramide,CNA06030,EGCrP1,,,22072709,fungus-specific glucosylceramide,CNBA5840,EGCrP1,,,22072709,fungus-specific glucosylceramide,CGB_A6500C,EGCrP1,,,22072709,fungus-specific glucosylceramide,CNBG_1305,EGCrP1,,,22072709,fungus-specific glucosylceramide,fungus-specific glucosylceramide,fungus-specific glucosylceramide,yes,,,cytoplasmic protein,Uncharacterized glycosyl hydrolase YIR007W,YIR007W,YIR007W,7.5999999999999993191e-46,27,774
CNAG_07572,ELP3,,,19542307,pol II transcription elongation factor,CNK00950,ELP3,,,19542307,pol II transcription elongation factor,CNBK2550,ELP3,,,19542307,pol II transcription elongation factor,CGB_K3300C,ELP3,,,19542307,pol II transcription elongation factor,CNBG_3177,ELP3,,,19542307,pol II transcription elongation factor,pol II transcription elongation factor,pol II transcription elongation factor,yes,,,elongator complex protein 3,Probable elongator complex protein 3,YPL086C,ELP3,2.5999999999999998995e-189,71.4,549
CNAG_00531,ENA1,ENA2,,19542307,p-type ATPase sodium pump,CNA05130,ENA1,,,19542307,p-type ATPase sodium pump,CNBA4950,ENA1,,,19542307,p-type ATPase sodium pump,CGB_A5410C,ENA1,,,19542307,p-type ATPase sodium pump,CNBG_1386,ENA1,,,19542307,p-type ATPase sodium pump,p-type ATPase sodium pump,p-type ATPase sodium pump,yes,,,"potassium/sodium efflux P-type ATPase, fungal-type",Calcium-transporting ATPase 1,YDR039C,ENA2,5.9999999999999999699e-153,39.03,1094
CNAG_06829,ERG1,,,19542307,squalene monooxygenase,CND06110,ERG1,,,19542307,squalene monooxygenase,CNBD0290,ERG1,,,19542307,squalene monooxygenase,CGB_I0350C,ERG1,,,19542307,squalene monooxygenase,CNBG_5896,ERG1,,,19542307,squalene monooxygenase,squalene monooxygenase,squalene monooxygenase,yes,,,squalene monooxygenase,Squalene monooxygenase,YGR175C,ERG1,3.6999999999999998008e-62,39.7,534
CNAG_02918,ERG10,,,17645443,acetyl-CoA C-acetyltransferase,CNC05280,ERG10,,,17645443,acetyl-CoA C-acetyltransferase,CNBC1890,ERG10,,,17645443,acetyl-CoA C-acetyltransferase,CGB_C7600W,ERG10,,,17645443,acetyl-CoA C-acetyltransferase,CNBG_3562,ERG10,,,17645443,acetyl-CoA C-acetyltransferase,acetyl-CoA C-acetyltransferase,acetyl-CoA C-acetyltransferase,yes,,,acetyl-CoA C-acetyltransferase,3-ketoacyl-CoA thiolase,YPL028W,ERG10,3.9999999999999998306e-75,50.37,401
CNAG_00040,ERG11,,,17645443,lanosterol 14-alpha-demethylase,CNA00300,ERG11,,,17645443,lanosterol 14-alpha-demethylase,CNBA0300,ERG11,,,17645443,lanosterol 14-alpha-demethylase,CGB_B0330W,ERG11,,,17645443,lanosterol 14-alpha-demethylase,CNBG_0513,ERG11,,,17645443,lanosterol 14-alpha-demethylase,lanosterol 14-alpha-demethylase,lanosterol 14-alpha-demethylase,yes,,,"cytochrome P450, family 51 (sterol 14-demethylase)",Cytochrome P450 10,YHR007C,ERG11,4.2999999999999997345e-107,44.08,549
CNAG_03311,ERG13,,,17645443,hydroxymethylglutaryl-CoA synthase,CNG02670,ERG13,,,17645443,hydroxymethylglutaryl-CoA synthase,CNBG2100,ERG13,,,17645443,hydroxymethylglutaryl-CoA synthase,CGB_G3140C,ERG13,,,17645443,hydroxymethylglutaryl-CoA synthase,CNBG_2289,ERG13,,,17645443,hydroxymethylglutaryl-CoA synthase,hydroxymethylglutaryl-CoA synthase,hydroxymethylglutaryl-CoA synthase,yes,,,hydroxymethylglutaryl-CoA synthase,Hydroxymethylglutaryl-CoA synthase,YML126C,ERG13,1.0999999999999999358e-92,45.47,475
CNAG_02896,ERG130,,,17645443,hydroxymethylglutaryl-CoA synthase,CNC05080,ERG130,,,17645443,hydroxymethylglutaryl-CoA synthase,CNBC2090,ERG130,,,17645443,hydroxymethylglutaryl-CoA synthase,CGB_C7400W,ERG130,,,17645443,hydroxymethylglutaryl-CoA synthase,CNBG_3543,ERG130,,,17645443,hydroxymethylglutaryl-CoA synthase,hydroxymethylglutaryl-CoA synthase,hydroxymethylglutaryl-CoA synthase,yes,,,hydroxymethylglutaryl-CoA synthase,Hydroxymethylglutaryl-CoA synthase,YML126C,ERG13,1.6999999999999999295e-87,44.06,488
CNAG_00854,ERG2,,,17645443,C-8 sterol isomerase,CNA08290,ERG2,,,17645443,C-8 sterol isomerase,CNBA8120,ERG2,,,17645443,C-8 sterol isomerase,CGB_A9650C,ERG2,,,17645443,C-8 sterol isomerase,CNBG_1089,ERG2,,,17645443,C-8 sterol isomerase,C-8 sterol isomerase,C-8 sterol isomerase,yes,,,C-8 sterol isomerase,Sigma non-opioid intracellular receptor 1,YMR202W,ERG2,8.0000000000000006196e-43,48.36,213
CNAG_02084,ERG20,,,19542307,farnesyl pyrophosphate synthetase,CNE04510,ERG20,,,19542307,farnesyl pyrophosphate synthetase,CNBE4510,ERG20,,,19542307,farnesyl pyrophosphate synthetase,CGB_E6090C,ERG20,,,19542307,farnesyl pyrophosphate synthetase,CNBG_5233,ERG20,,,19542307,farnesyl pyrophosphate synthetase,farnesyl pyrophosphate synthetase,farnesyl pyrophosphate synthetase,yes,,,farnesyl diphosphate synthase,Farnesyl pyrophosphate synthase,YJL167W,ERG20,9.0000000000000004041e-94,58.76,354
CNAG_00117,ERG24,,,17645443,C-14 sterol reductase,CNA01070,ERG24,,,17645443,C-14 sterol reductase,CNBA1040,ERG24,,,17645443,C-14 sterol reductase,CGB_B1300C,ERG24,,,17645443,C-14 sterol reductase,CNBG_0438,ERG24,,,17645443,C-14 sterol reductase,C-14 sterol reductase,C-14 sterol reductase,yes,,,delta14-sterol reductase,Delta(14)-sterol reductase,YNL280C,ERG24,6.0000000000000001386e-74,44.27,445
CNAG_01737,ERG25,,,17645443,C-4 methyl sterol oxidase,CNC02410,ERG25,,,17645443,C-4 methyl sterol oxidase,CNBC4830,ERG25,,,17645443,C-4 methyl sterol oxidase,CGB_C3480W,ERG25,,,17645443,C-4 methyl sterol oxidase,CNBG_3274,ERG25,,,17645443,C-4 methyl sterol oxidase,C-4 methyl sterol oxidase,C-4 methyl sterol oxidase,yes,,,methylsterol monooxygenase,Methylsterol monooxygenase,YGR060W,ERG25,2.4999999999999997881e-72,51.67,300
CNAG_04605,ERG26,,,19542307,C-3 sterol dehydrogenase,CNJ00460,ERG26,,,19542307,C-3 sterol dehydrogenase,CNBJ3060,ERG26,,,19542307,C-3 sterol dehydrogenase,CGB_D9350C,ERG26,,,19542307,C-3 sterol dehydrogenase,CNBG_1043,ERG26,,,19542307,C-3 sterol dehydrogenase,C-3 sterol dehydrogenase,C-3 sterol dehydrogenase,yes,,,sterol-4alpha-carboxylate 3-dehydrogenase (decarboxylating),3 beta-hydroxysteroid dehydrogenase type 7,YGL001C,ERG26,1.5000000000000000386e-58,38.08,428
CNAG_07437,ERG27,,,19542307,3-keto sterol reductase,CND03020,ERG27,,,19542307,3-keto sterol reductase,CNBD3330,ERG27,,,19542307,3-keto sterol reductase,CGB_D5570C,ERG27,,,19542307,3-keto sterol reductase,CNBG_0746,ERG27,,,19542307,3-keto sterol reductase,3-keto sterol reductase,3-keto sterol reductase,yes,,,3-keto sterol reductase,3-keto-steroid reductase,YLR100W,ERG27,2.0999999999999998871e-14,27.18,287
CNAG_03009,ERG28,,,19542307,putative ER membrane protein,CNC06200,ERG28,,,19542307,putative ER membrane protein,CNBC1010,ERG28,,,19542307,putative ER membrane protein,CGB_C8750W,ERG28,,,19542307,putative ER membrane protein,CNBG_3650,ERG28,,,19542307,putative ER membrane protein,putative ER membrane protein,putative ER membrane protein,yes,,,hypothetical protein,Ergosterol biosynthetic protein 28,YER044C,ERG28,2.1000000000000000785e-22,38.46,130
CNAG_00519,ERG3,,,17645443,C-5 sterol desaturase,CNA05010,ERG3,,,17645443,C-5 sterol desaturase,CNBA4830,ERG3,,,17645443,C-5 sterol desaturase,CGB_A5290W,ERG3,,,17645443,C-5 sterol desaturase,CNBG_1396,ERG3,,,17645443,C-5 sterol desaturase,C-5 sterol desaturase,C-5 sterol desaturase,yes,,,lathosterol oxidase,Probable C-5 sterol desaturase,YLR056W,ERG3,3.3000000000000000437e-53,41.41,326
CNAG_02830,ERG4,,,17645443,C-24(28) sterol reductase,CNC04470,ERG4,,,17645443,C-24(28) sterol reductase,CNBC2700,ERG4,,,17645443,C-24(28) sterol reductase,CGB_C6580C,ERG4,,,17645443,C-24(28) sterol reductase,CNBG_3483,ERG4,,,17645443,C-24(28) sterol reductase,C-24(28) sterol reductase,C-24(28) sterol reductase,yes,,,delta24(24(1))-sterol reductase,Delta(24(24(1)))-sterol reductase,YGL012W,ERG4,8.3000000000000004102e-79,45.48,442
CNAG_06644,ERG5,,,17645443,C-22 sterol desaturase,CNF03720,ERG5,,,17645443,C-22 sterol desaturase,CNBF1100,ERG5,,,17645443,C-22 sterol desaturase,CGB_F1500C,ERG5,,,17645443,C-22 sterol desaturase,CNBG_1921,ERG5,,,17645443,C-22 sterol desaturase,C-22 sterol desaturase,C-22 sterol desaturase,yes,,,C-22 sterol desaturase,Sterol 14-alpha demethylase,YMR015C,ERG5,1.0999999999999999784e-93,44.62,511
CNAG_03819,ERG6,,,17645443,sterol 24-C-methyltransferase,CNB03100,ERG6,,,17645443,sterol 24-C-methyltransferase,CNBB2600,ERG6,,,17645443,sterol 24-C-methyltransferase,CGB_A3260C,ERG6,,,17645443,sterol 24-C-methyltransferase,CNBG_1537,ERG6,,,17645443,sterol 24-C-methyltransferase,sterol 24-C-methyltransferase,sterol 24-C-methyltransferase,yes,,,sterol 24-C-methyltransferase,Sterol 24-C-methyltransferase,YML008C,ERG6,2.699999999999999937e-78,55.39,334
CNAG_01129,ERG7,,,17645443,lanosterol synthase,CND02520,ERG7,,,17645443,lanosterol synthase,CNBD3820,ERG7,,,17645443,lanosterol synthase,CGB_D5080W,ERG7,,,17645443,lanosterol synthase,CNBG_0697,ERG7,,,17645443,lanosterol synthase,lanosterol synthase,lanosterol synthase,yes,,,lanosterol synthase,Cycloartenol synthase,YHR072W,ERG7,1.8000000000000001229e-128,41.55,722
CNAG_06001,ERG8,,,19542307,phosphomevalonate kinase,CNM00100,ERG8,,,19542307,phosphomevalonate kinase,CNBM0120,ERG8,,,19542307,phosphomevalonate kinase,CGB_M0070W,ERG8,,,19542307,phosphomevalonate kinase,CNBG_4743,ERG8,,,19542307,phosphomevalonate kinase,phosphomevalonate kinase,phosphomevalonate kinase,yes,,,phosphomevalonate kinase,Probable phosphomevalonate kinase,YMR220W,ERG8,2.499999999999999858e-30,28.79,535
CNAG_01839,ESS1,,,15870468,peptidyl-prolyl cis-trans isomerase,CNC03250,ESS1,,,15870468,peptidyl-prolyl cis-trans isomerase,CNBC3960,ESS1,,,15870468,peptidyl-prolyl cis-trans isomerase,CGB_C5090C,ESS1,,,15870468,peptidyl-prolyl cis-trans isomerase,CNBG_3360,ESS1,,,15870468,peptidyl-prolyl cis-trans isomerase,peptidyl-prolyl cis-trans isomerase,peptidyl-prolyl cis-trans isomerase,yes,,,peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,Peptidyl-prolyl cis-trans isomerase C,YJR017C,ESS1,6.1999999999999996647e-26,42.2,173
CNAG_06806,ETF1alpha,,,12455690,electron transfer flavoprotein alpha subunit,CND05770,ETF1alpha,,,12455690,electron transfer flavoprotein alpha subunit,CNBD0620,ETF1alpha,,,12455690,electron transfer flavoprotein alpha subunit,CGB_I1080C,ETF1alpha,,,12455690,electron transfer flavoprotein alpha subunit,CNBG_5866,ETF1alpha,,,12455690,electron transfer flavoprotein alpha subunit,electron transfer flavoprotein alpha subunit,electron transfer flavoprotein alpha subunit,yes,,,electron transfer flavoprotein alpha subunit,"Probable electron transfer flavoprotein subunit alpha, mitochondrial",YPR004C,AIM45,2.0999999999999998854e-49,43.4,341
CNAG_02225,EXG104,,,18854164,"glucan 1,3-beta-glucosidase",CNE03150,EXG104,,,18854164,"glucan 1,3-beta-glucosidase",CNBE3160,EXG104,,,18854164,"glucan 1,3-beta-glucosidase",CGB_E4160W,EXG104,,,18854164,"glucan 1,3-beta-glucosidase",CNBG_5365,EXG104,,,18854164,"glucan 1,3-beta-glucosidase","glucan 1,3-beta-glucosidase","glucan 1,3-beta-glucosidase",yes,,,"glucan 1,3-beta-glucosidase","Glucan 1,3-beta-glucosidase",YLR300W,EXG1,1.8000000000000000887e-69,41.43,449
CNAG_06815,FAO1,,,12455690,putative fatty alcohol oxidase in the mating-type locus,CND05960,FAO1,,,12455690,putative fatty alcohol oxidase in the mating-type locus,CNBD0440,FAO1,,,12455690,putative fatty alcohol oxidase in the mating-type locus,CGB_I0500W,FAO1,,,12455690,putative fatty alcohol oxidase in the mating-type locus,CNBG_5881,FAO1,,,12455690,putative fatty alcohol oxidase in the mating-type locus,putative fatty alcohol oxidase in the mating-type locus,putative fatty alcohol oxidase in the mating-type locus,yes,,,hypothetical protein,1-aminocyclopropane-1-carboxylate oxidase,,,,,
CNAG_02099,FAS1,,,17698629,fatty acid synthase beta subunit,CNE04370,FAS1,,,17698629,fatty acid synthase beta subunit,CNBE4370,FAS1,,,17698629,fatty acid synthase beta subunit,CGB_E5660W,FAS1,,,17698629,fatty acid synthase beta subunit,CNBG_5247,FAS1,,,17698629,fatty acid synthase beta subunit,fatty acid synthase beta subunit,fatty acid synthase beta subunit,yes,,,"fatty acid synthase subunit beta, fungi type",Fatty acid synthase subunit beta,YKL182W,FAS1,0,44.72,2091
CNAG_02100,FAS2,,,17698629,fatty acid synthase complex protein,CNE04360,FAS2,,,17698629,fatty acid synthase complex protein,CNBE4360,FAS2,,,17698629,fatty acid synthase complex protein,CGB_E5650C,FAS2,,,17698629,fatty acid synthase complex protein,CNBG_5248,FAS2,,,17698629,fatty acid synthase complex protein,fatty acid synthase complex protein,fatty acid synthase complex protein,yes,,,"fatty acid synthase subunit alpha, fungi type",Fatty acid synthase subunit alpha,YPL231W,FAS2,0,50.17,1461
CNAG_05280,FBP1,,,21478432,f-box protein of scf ubiquitin-ligase complex,CNH03480,FBP1,,,21478432,f-box protein of scf ubiquitin-ligase complex,CNBI3290,FBP1,,,21478432,f-box protein of scf ubiquitin-ligase complex,CGB_I4220C,FBP1,,,21478432,f-box protein of scf ubiquitin-ligase complex,CNBG_5705,FBP1,,,21478432,f-box protein of scf ubiquitin-ligase complex,f-box protein of scf ubiquitin-ligase complex,f-box protein of scf ubiquitin-ligase complex,yes,,,F-box and leucine-rich repeat protein GRR1,F-box/LRR-repeat protein 7,YJR090C,GRR1,1.8000000000000000137e-51,33.27,514
CNAG_00613,FCY1,,,22080454,cytosine deaminase,CNA05950,FCY1,,,22080454,cytosine deaminase,CNBA5760,FCY1,,,22080454,cytosine deaminase,CGB_A6420C,FCY1,,,22080454,cytosine deaminase,CNBG_1313,FCY1,,,22080454,cytosine deaminase,cytosine deaminase,cytosine deaminase,yes,,,cytosine deaminase,tRNA-specific adenosine deaminase tRNA-specific adenosine deaminase tRNA-specific adenosine deaminase,YPR062W,FCY1,1.0000000000000000486e-22,40,160
CNAG_01681,FCY2,,,22080454,cytosine permease,CNC01920,FCY2,,,22080454,cytosine permease,CNBC5330,FCY2,,,22080454,cytosine permease,CGB_C2750W,FCY2,,,22080454,cytosine permease,CNBG_3227,FCY2,,,22080454,cytosine permease,cytosine permease,cytosine permease,yes,,,cytosine permease,Purine-cytosine permease fcyB,YER056C,FCY2,1.8000000000000000711e-61,37.48,531
CNAG_04982,FCY3,,,22080454,putative cytosine-purine permease,CNL06330,FCY3,,,22080454,putative cytosine-purine permease,CNBI0510,FCY3,,,22080454,putative cytosine-purine permease,CGB_D0450C,FCY3,,,22080454,putative cytosine-purine permease,CNBG_4695,FCY3,,,22080454,putative cytosine-purine permease,putative cytosine-purine permease,putative cytosine-purine permease,yes,,,cytosine-purine permease,Purine-cytosine permease fcyB,YER056C,FCY2,9.9999999999999992929e-40,32.96,446
CNAG_04276,FCY4,,,22080454,cytosine permease,CNI04150,FCY4,,,22080454,cytosine permease,CNBH3960,FCY4,,,22080454,cytosine permease,CGB_H3720W,FCY4,,,22080454,cytosine permease,CNBG_2773,FCY4,,,22080454,cytosine permease,cytosine permease,cytosine permease,yes,,,cytosine-purine permease,Purine-cytosine permease fcyB,YER056C,FCY2,2.7000000000000001682e-34,28.47,439
CNAG_01464,FHB1,,,14614821,flavohemoglobin,CNC07160,FHB1,,,14614821,flavohemoglobin,CNBC0030,FHB1,,,14614821,flavohemoglobin,CGB_C0030C,FHB1,,,14614821,flavohemoglobin,CNBG_3964,FHB1,,,14614821,flavohemoglobin,flavohemoglobin,flavohemoglobin,yes,,,nitric oxide dioxygenase,Na(+)-translocating NADH-quinone reductase subunit F,YGR234W,YHB1,3.5000000000000001277e-37,36.15,426
CNAG_06508,FKS1,,,9882657,"1,3-beta-glucan synthase component",CNN02320,FKS1,,,9882657,"1,3-beta-glucan synthase component",CNBN2360,FKS1,,,9882657,"1,3-beta-glucan synthase component",CGB_N3410W,FKS1,,,9882657,"1,3-beta-glucan synthase component",CNBG_4964,FKS1,,,9882657,"1,3-beta-glucan synthase component","1,3-beta-glucan synthase component","1,3-beta-glucan synthase component",yes,,,"1,3-beta-glucan synthase component FKS1","1,3-beta-glucan synthase component FKS1",YLR342W,FKS1,0,54.89,1831
CNAG_03845,FNX1,,,23028773,multidrug resistance transporter,CNB03350,FNX1,,,23028773,multidrug resistance transporter,CNBB2340,FNX1,,,23028773,multidrug resistance transporter,CGB_A3010W,FNX1,,,23028773,multidrug resistance transporter,CNBG_1563,FNX1,,,23028773,multidrug resistance transporter,multidrug resistance transporter,multidrug resistance transporter,yes,,,multidrug resistance protein fnx1,Vacuolar basic amino acid transporter 1,YMR088C,VBA1,5.6000000000000000841e-21,26.95,590
CNAG_06291,FPD1,,,17400891,polysaccharide deacetylase,CNN00270,FPD1,,,17400891,polysaccharide deacetylase,CNBN0250,FPD1,,,17400891,polysaccharide deacetylase,CGB_N0240C,FPD1,,,17400891,polysaccharide deacetylase,CNBG_5149,FPD1,,,17400891,polysaccharide deacetylase,polysaccharide deacetylase,polysaccharide deacetylase,yes,,,deacetylase,Chitooligosaccharide deacetylase,YLR308W,CDA2,6.7000000000000001278e-12,31.71,205
CNAG_01148,FPR3,,,21602483,peptidyl-prolyl cis-trans isomerase,CND02730,FPR3,,,21602483,peptidyl-prolyl cis-trans isomerase,CNBD3620,FPR3,,,21602483,peptidyl-prolyl cis-trans isomerase,CGB_D5280W,FPR3,,,21602483,peptidyl-prolyl cis-trans isomerase,CNBG_0716,FPR3,,,21602483,peptidyl-prolyl cis-trans isomerase,peptidyl-prolyl cis-trans isomerase,peptidyl-prolyl cis-trans isomerase,yes,,,FK506-binding protein 4,Peptidyl-prolyl cis-trans isomerase,YML074C,FPR3,4.8000000000000004436e-38,40,415
CNAG_06821,FRE2,,,19542307,ferric reductase transmembrane component,CND06030,FRE2,,,19542307,ferric reductase transmembrane component,CNBD0370,FRE2,,,19542307,ferric reductase transmembrane component,CGB_I0430C,FRE2,,,19542307,ferric reductase transmembrane component,CNBG_5888,FRE2,,,19542307,ferric reductase transmembrane component,ferric reductase transmembrane component,ferric reductase transmembrane component,yes,,,ferric reductase transmembrane component 4,Ferric reduction oxidase 4,YOR384W,FRE5,6.0000000000000000565e-23,25.77,489
CNAG_06524,FRE3,,,24692633,ferric reductase,,,,,24692633,ferric reductase,,,,,24692633,ferric reductase,,,,,24692633,ferric reductase,,,,,24692633,ferric reductase,ferric reductase,ferric reductase,ambiguous,new,,,,,,,,
